train_idx,train_type,original_price,optimized_price,difference,predicted_demand,actual_demand,capacity
00021_22-03-2025-06.27,AVLO,28.92,48.92,20.0,102.33333333333333,102.33333333333333,581
00005_22-03-2025-07.02,OUIGO,27.1,27.1,0.0,509.0,509.0,509
00006_22-03-2025-07.27,AVE,68.48,57.81999999274312,-10.660000007256883,383.75,383.75,414
00009_22-03-2025-08.07,IRYO,46.77,46.77,0.0,32.857142857142854,32.857142857142854,461
00007_22-03-2025-08.27,AVE,55.9,75.9,20.000000000000007,32.857142857142854,32.857142857142854,414
00008_22-03-2025-08.57,AVE,43.65,36.80499989849292,-6.845000101507075,669.1666666666666,669.1666666666666,836
00009_22-03-2025-09.22,IRYO,38.58,38.58,0.0,69.5,69.5,461
00010_22-03-2025-09.27,AVE,73.29,57.819999992743504,-15.470000007256502,12.3,12.3,414
00009_22-03-2025-09.57,IRYO,43.26,43.26,0.0,50.4,50.4,461
00011_22-03-2025-10.02,OUIGO,25.89,25.89,0.0,434.375,434.375,509
00012_22-03-2025-10.27,AVLO,47.28,30.684999797407457,-16.595000202592544,476.38461538461536,476.38461538461536,581
00009_22-03-2025-11.22,IRYO,19.11,19.11,0.0,372.1666666666667,372.1666666666667,461
00006_22-03-2025-11.27,AVE,26.54,26.06000006951893,-0.4799999304810676,618.0,618.0,803
00009_22-03-2025-12.22,IRYO,34.11,34.11,0.0,417.35714285714283,417.35714285714283,461
00013_22-03-2025-12.27,AVE,38.41,33.76500064212766,-4.6449993578723365,376.0,376.0,378
00014_22-03-2025-13.18,AVE,82.74,82.51000068748627,-0.2299993125137263,11.555555555555555,11.555555555555555,339
00015_22-03-2025-14.12,OUIGO,10.0,10.0,0.0,509.0,509.0,509
00017_22-03-2025-14.42,IRYO,45.52,45.52,0.0,143.66666666666666,143.66666666666666,461
00018_22-03-2025-15.27,AVLO,32.95,51.334999985756625,18.38499998575662,323.5,323.5,547
00007_22-03-2025-16.27,AVE,95.86,79.84499976772534,-16.01500023227466,40.0,40.0,414
00002_22-03-2025-16.37,IRYO,26.41,26.41,0.0,461.0,461.0,461
00015_22-03-2025-17.17,OUIGO,21.04,21.04,0.0,509.0,509.0,509
00018_22-03-2025-17.27,AVLO,26.77,36.80499989849292,10.034999898492924,576.8333333333334,576.8333333333334,581
00016_22-03-2025-18.27,AVE,83.09,92.9049992398065,9.814999239806497,31.0,31.0,414
00009_22-03-2025-19.29,IRYO,45.33,45.33,0.0,153.41666666666666,153.41666666666666,461
00019_22-03-2025-19.34,AVLO,30.03,44.76499989606822,14.734999896068217,166.77777777777777,166.77777777777777,581
00009_22-03-2025-20.22,IRYO,24.64,24.64,0.0,450.2,450.2,461
00020_22-03-2025-20.27,AVE,24.18,28.665000435943384,4.485000435943384,402.0588235294118,402.0588235294117,414
00005_22-03-2025-21.02,OUIGO,26.56,26.56,0.0,302.0833333333333,302.0833333333333,509
